id,actividad_id,insumo_id,cantidad,unidad,especificaciones,costo_unitario,costo_total
1,4,51,1.58,Unidad,Requerido para Cambiar filtro de combustible,45.82,72.40
2,4,69,4.06,Litro,Requerido para Cambiar filtro de combustible,26.98,109.54
3,4,8,4.67,Unidad,Requerido para Cambiar filtro de combustible,41.64,194.46
4,7,68,1.05,Unidad,Requerido para Revisar dientes,323.88,340.07
5,7,9,2.34,Unidad,Requerido para Revisar dientes,119.93,280.64
6,8,77,2.43,Metro,Requerido para Verificar alternador,71.69,174.21
7,14,54,1.24,Kg,Requerido para Limpiar filtros de aire acondicionado,13.04,16.17
8,14,28,4.45,Unidad,Requerido para Limpiar filtros de aire acondicionado,1222.27,5439.10
9,14,5,2.75,Kg,Requerido para Limpiar filtros de aire acondicionado,13.83,38.03
10,18,8,3.96,Unidad,Requerido para Revisar tensión de cadena,41.64,164.89
11,18,30,3.81,Kg,Requerido para Revisar tensión de cadena,7.86,29.95
12,18,12,4.55,Unidad,Requerido para Revisar tensión de cadena,96.61,439.58
13,19,44,2.26,Unidad,Requerido para Purgar sistema de frenos,88.15,199.22
14,19,50,4.56,Kg,Requerido para Purgar sistema de frenos,18.78,85.64
15,19,69,3.26,Litro,Requerido para Purgar sistema de frenos,26.98,87.95
16,21,48,4.25,Pliego,Requerido para Revisar mangueras,1.57,6.67
17,25,9,3.57,Unidad,Requerido para Revisar mangueras,119.93,428.15
18,25,18,1.64,Unidad,Requerido para Revisar mangueras,176.73,289.84
19,26,68,2.17,Unidad,Requerido para Verificar termostato,323.88,702.82
20,29,65,1.80,Unidad,Requerido para Revisar discos,1.94,3.49
21,30,4,2.76,Litro,Requerido para Cambiar empaques,27.70,76.45
22,30,40,2.71,Unidad,Requerido para Cambiar empaques,23.36,63.31
23,30,29,1.35,Unidad,Requerido para Cambiar empaques,2414.37,3259.40
24,31,19,3.99,Unidad,Requerido para Cambiar aceite de motor,895.75,3574.04
25,31,27,3.23,Unidad,Requerido para Cambiar aceite de motor,35.91,115.99
26,31,7,4.82,Unidad,Requerido para Cambiar aceite de motor,40.85,196.90
27,37,30,1.60,Kg,Requerido para Inspeccionar desgaste,7.86,12.58
28,37,76,1.01,Unidad,Requerido para Inspeccionar desgaste,1.67,1.69
29,37,62,2.72,Unidad,Requerido para Inspeccionar desgaste,99.38,270.31
30,38,63,3.58,Unidad,Requerido para Verificar cardanes,6.08,21.77
31,39,9,2.58,Unidad,Requerido para Revisar vidrios,119.93,309.42
32,40,30,3.84,Kg,Requerido para Verificar funcionamiento de motor,7.86,30.18
33,40,65,1.65,Unidad,Requerido para Verificar funcionamiento de motor,1.94,3.20
34,42,54,3.65,Kg,Requerido para Revisar batería,13.04,47.60
35,42,30,4.70,Kg,Requerido para Revisar batería,7.86,36.94
36,42,66,4.72,Litro,Requerido para Revisar batería,34.56,163.12
37,43,71,2.90,Unidad,Requerido para Inspeccionar DPF,100.49,291.42
38,43,54,2.79,Kg,Requerido para Inspeccionar DPF,13.04,36.38
39,44,33,1.74,Spray,Requerido para Inspeccionar rodillos,16.08,27.98
40,44,40,1.36,Unidad,Requerido para Inspeccionar rodillos,23.36,31.77
41,45,25,1.53,Unidad,Requerido para Inspeccionar rodillos,269.56,412.43
42,46,46,3.44,Litro,Requerido para Revisar mangueras,27.33,94.02
43,46,37,3.59,Unidad,Requerido para Revisar mangueras,1.38,4.95
44,50,28,4.62,Unidad,Requerido para Verificar tablero,1222.27,5646.89
45,53,29,5.00,Unidad,Requerido para Verificar presión,2414.37,12071.85
46,53,74,2.19,Unidad,Requerido para Verificar presión,217.94,477.29
47,53,49,2.13,Unidad,Requerido para Verificar presión,4.68,9.97
48,55,76,4.01,Unidad,Requerido para Cambiar aceite de transmisión,1.67,6.70
49,56,6,1.37,Kg,Requerido para Ajustar válvulas,11.87,16.26
50,58,27,3.69,Unidad,Requerido para Revisar dientes,35.91,132.51
51,58,10,3.28,Unidad,Requerido para Revisar dientes,79.32,260.17
52,58,29,4.84,Unidad,Requerido para Revisar dientes,2414.37,11685.55
53,60,75,1.36,Rollo,Requerido para Limpiar filtros de aire acondicionado,15.57,21.18
54,60,79,4.15,Unidad,Requerido para Limpiar filtros de aire acondicionado,0.54,2.24
55,60,18,4.51,Unidad,Requerido para Limpiar filtros de aire acondicionado,176.73,797.05
56,61,18,3.79,Unidad,Requerido para Revisar pastillas,176.73,669.81
57,61,30,4.06,Kg,Requerido para Revisar pastillas,7.86,31.91
58,63,57,4.14,Unidad,Requerido para Inspeccionar correas,133.39,552.23
59,64,33,3.53,Spray,Requerido para Ajustar embrague,16.08,56.76
60,64,63,4.55,Unidad,Requerido para Ajustar embrague,6.08,27.66
61,65,72,4.36,Unidad,Requerido para Inspeccionar desgaste,5.86,25.55
62,65,42,3.74,Unidad,Requerido para Inspeccionar desgaste,14.16,52.96
63,72,44,2.71,Unidad,Requerido para Inspeccionar rodillos,88.15,238.89
64,72,78,2.09,Unidad,Requerido para Inspeccionar rodillos,3.29,6.88
65,72,13,3.86,Litro,Requerido para Inspeccionar rodillos,21.90,84.53
66,76,22,4.59,Unidad,Requerido para Revisar nivel de refrigerante,33.32,152.94
67,76,7,4.01,Unidad,Requerido para Revisar nivel de refrigerante,40.85,163.81
68,76,59,2.34,Unidad,Requerido para Revisar nivel de refrigerante,0.59,1.38
69,78,64,1.16,Unidad,Requerido para Revisar mangueras,56.35,65.37
