id,plan_id,numero_orden,descripcion_componente,actividad,tiempo_min,tiempo_promedio,tiempo_max,costo_estimado,fecha_registro,fecha_actualizacion
1,1,1,Neumáticos,Rotar neumáticos,43,72,94,349.32,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
2,1,2,Sistema de Lubricación,Verificar nivel de aceite,17,45,66,394.32,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
3,1,3,Sistema de Frenos,Verificar líquido de frenos,41,55,74,259.74,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
4,1,4,Filtros,Cambiar filtro de combustible,25,35,55,237.43,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
5,1,5,Cuchara y Brazo,Soldar refuerzos,24,47,67,84.21,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
6,2,1,Sistema de Escape,Cambiar empaques,45,60,76,576.53,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
7,2,2,Cuchara y Brazo,Revisar dientes,20,39,49,287.89,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
8,2,3,Sistema Eléctrico,Verificar alternador,17,31,43,375.74,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
9,2,4,Sistema de Frenos,Verificar líquido de frenos,23,34,45,570.20,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
10,2,5,Sistema Hidráulico,Medir presiones de bomba,39,56,74,281.56,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
11,2,6,Sistema de Transmisión,Cambiar aceite de transmisión,37,55,80,405.53,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
12,2,7,Neumáticos,Rotar neumáticos,45,75,87,325.02,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
13,2,8,Cabina,Revisar asiento,23,53,64,314.86,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
14,3,1,Cabina,Limpiar filtros de aire acondicionado,19,32,43,306.49,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
