id,mantenimiento_id,actividad_id,descripcion,tiempo_real,completada,observaciones
1,1,16,Cambiar aceite de transmisión,48,1,Tarea finalizada correctamente.
2,1,15,Engrasar articulaciones,67,1,Tarea finalizada correctamente.
3,1,19,Purgar sistema de frenos,48,1,Tarea finalizada correctamente.
4,1,20,Verificar juego,39,1,Tarea finalizada correctamente.
5,1,21,Revisar mangueras,31,1,Tarea finalizada correctamente.
6,1,24,Reparar abolladuras,49,1,Tarea finalizada correctamente.
7,1,23,Verificar funcionamiento de motor,45,1,Tarea finalizada correctamente.
8,1,17,Engrasar puntos de lubricación,58,1,Tarea finalizada correctamente.
9,1,25,Revisar mangueras,51,1,Tarea finalizada correctamente.
10,1,14,Limpiar filtros de aire acondicionado,19,1,Tarea finalizada correctamente.
11,2,41,Limpiar pre-filtro,54,1,Tarea finalizada correctamente.
12,2,42,Revisar batería,43,1,Tarea finalizada correctamente.
13,2,44,Inspeccionar rodillos,44,1,Tarea finalizada correctamente.
14,4,2,Verificar nivel de aceite,19,1,Tarea finalizada correctamente.
15,4,4,Cambiar filtro de combustible,32,1,Tarea finalizada correctamente.
16,4,1,Rotar neumáticos,62,1,Tarea finalizada correctamente.
17,4,3,Verificar líquido de frenos,55,1,Tarea finalizada correctamente.
18,5,27,Verificar controles,52,1,Tarea finalizada correctamente.
19,5,38,Verificar cardanes,40,1,Tarea finalizada correctamente.
20,5,28,Verificar cilindros,26,1,Tarea finalizada correctamente.
21,5,37,Inspeccionar desgaste,31,1,Tarea finalizada correctamente.
22,5,39,Revisar vidrios,41,1,Tarea finalizada correctamente.
23,5,32,Cambiar bocinas,75,1,Tarea finalizada correctamente.
24,5,30,Cambiar empaques,39,1,Tarea finalizada correctamente.
25,5,31,Cambiar aceite de motor,48,1,Tarea finalizada correctamente.
26,5,36,Alinear dirección,43,1,Tarea finalizada correctamente.
27,5,29,Revisar discos,51,1,Tarea finalizada correctamente.
28,5,35,Inspeccionar conexiones,28,1,Tarea finalizada correctamente.
29,5,40,Verificar funcionamiento de motor,44,1,Tarea finalizada correctamente.
30,5,34,Verificar bomba de combustible,35,1,Tarea finalizada correctamente.
31,6,37,Inspeccionar desgaste,47,1,Tarea finalizada correctamente.
32,6,40,Verificar funcionamiento de motor,24,1,Tarea finalizada correctamente.
33,6,30,Cambiar empaques,47,1,Tarea finalizada correctamente.
34,6,26,Verificar termostato,83,1,Tarea finalizada correctamente.
35,6,27,Verificar controles,60,1,Tarea finalizada correctamente.
36,6,33,Cambiar filtro de combustible,68,1,Tarea finalizada correctamente.
37,6,34,Verificar bomba de combustible,43,1,Tarea finalizada correctamente.
38,6,32,Cambiar bocinas,53,1,Tarea finalizada correctamente.
39,6,39,Revisar vidrios,42,1,Tarea finalizada correctamente.
40,6,35,Inspeccionar conexiones,46,1,Tarea finalizada correctamente.
41,6,28,Verificar cilindros,21,1,Tarea finalizada correctamente.
42,6,36,Alinear dirección,35,1,Tarea finalizada correctamente.
43,6,38,Verificar cardanes,54,1,Tarea finalizada correctamente.
44,7,34,Verificar bomba de combustible,44,1,Tarea finalizada correctamente.
45,7,39,Revisar vidrios,36,1,Tarea finalizada correctamente.
46,7,36,Alinear dirección,44,1,Tarea finalizada correctamente.
47,7,29,Revisar discos,56,1,Tarea finalizada correctamente.
48,7,38,Verificar cardanes,67,1,Tarea finalizada correctamente.
49,7,28,Verificar cilindros,31,1,Tarea finalizada correctamente.
50,7,37,Inspeccionar desgaste,36,1,Tarea finalizada correctamente.
51,7,40,Verificar funcionamiento de motor,25,1,Tarea finalizada correctamente.
52,7,33,Cambiar filtro de combustible,64,1,Tarea finalizada correctamente.
53,7,30,Cambiar empaques,31,1,Tarea finalizada correctamente.
54,7,31,Cambiar aceite de motor,58,1,Tarea finalizada correctamente.
55,7,27,Verificar controles,36,1,Tarea finalizada correctamente.
56,7,32,Cambiar bocinas,51,1,Tarea finalizada correctamente.
57,8,1,Rotar neumáticos,87,1,Tarea finalizada correctamente.
58,8,5,Soldar refuerzos,67,1,Tarea finalizada correctamente.
59,8,4,Cambiar filtro de combustible,32,1,Tarea finalizada correctamente.
60,8,3,Verificar líquido de frenos,59,1,Tarea finalizada correctamente.
61,9,67,Limpiar trampa de agua,71,1,Tarea finalizada correctamente.
62,9,63,Inspeccionar correas,40,1,Tarea finalizada correctamente.
63,9,60,Limpiar filtros de aire acondicionado,60,1,Tarea finalizada correctamente.
64,9,58,Revisar dientes,67,1,Tarea finalizada correctamente.
65,9,65,Inspeccionar desgaste,39,1,Tarea finalizada correctamente.
66,9,61,Revisar pastillas,31,1,Tarea finalizada correctamente.
67,9,64,Ajustar embrague,49,1,Tarea finalizada correctamente.
68,9,66,Cambiar aceite de motor,35,1,Tarea finalizada correctamente.
69,9,62,Revisar mangueras,38,1,Tarea finalizada correctamente.
70,9,69,Revisar mangueras,43,1,Tarea finalizada correctamente.
71,10,62,Revisar mangueras,45,1,Tarea finalizada correctamente.
72,10,63,Inspeccionar correas,22,1,Tarea finalizada correctamente.
73,10,58,Revisar dientes,37,1,Tarea finalizada correctamente.
74,10,59,Revisar bomba de dirección,55,1,Tarea finalizada correctamente.
75,10,67,Limpiar trampa de agua,45,1,Tarea finalizada correctamente.
76,10,64,Ajustar embrague,76,1,Tarea finalizada correctamente.
77,10,66,Cambiar aceite de motor,60,1,Tarea finalizada correctamente.
