id,codigo,nombre,marca,modelo,anio,estado,costo_adquisicion,horas_totales
1,EQ-001,Volquete Caterpillar 730C,Caterpillar,730C,2016,INACTIVO,456868.08,4882.54
2,EQ-002,Grúa JCB LTM 1100,JCB,LTM 1100,2018,OPERATIVO,256504.85,6365.29
3,EQ-003,Grúa Hitachi LTM 1100,Hitachi,LTM 1100,2010,OPERATIVO,159323.44,14971.28
4,EQ-004,Cargador Frontal Hitachi L150,Hitachi,L150,2017,INACTIVO,490949.9,6359.13
5,EQ-005,Minicargador Hitachi S650,Hitachi,S650,2011,OPERATIVO,262143.63,4896.93
6,EQ-006,Excavadora Hidráulica Doosan PC300,Doosan,PC300,2019,OPERATIVO,468367.57,7315.66
7,EQ-007,Cargador Frontal Doosan WA380,Doosan,WA380,2018,OPERATIVO,134739.32,8448.01
8,EQ-008,Motoniveladora Doosan 14M,Doosan,14M,2012,INACTIVO,486294.42,14111.59
9,EQ-009,Grúa Komatsu LTM 1100,Komatsu,LTM 1100,2016,OPERATIVO,293813.62,4165.52
10,EQ-010,Grúa Komatsu LTM 1050,Komatsu,LTM 1050,2012,MANTENIMIENTO,374649.27,3619.66
11,EQ-011,Volquete Case A40G,Case,A40G,2013,OPERATIVO,244181.14,12509.16
12,EQ-012,Bulldozer JCB D9T,JCB,D9T,2012,OPERATIVO,113507.37,6195.75
13,EQ-013,Perforadora Bobcat DM30,Bobcat,DM30,2013,MANTENIMIENTO,53687.62,7211.77
14,EQ-014,Grúa John Deere GMK4100,John Deere,GMK4100,2022,OPERATIVO,360205.49,14988.75
15,EQ-015,Motoniveladora John Deere G930,John Deere,G930,2022,MANTENIMIENTO,445812.01,10177.51
16,EQ-016,Grúa JCB RT890E,JCB,RT890E,2022,OPERATIVO,423404.16,3582.63
17,EQ-017,Excavadora Hidráulica Liebherr PC300,Liebherr,PC300,2013,MANTENIMIENTO,258831.11,8644.79
18,EQ-018,Perforadora Hitachi DM45,Hitachi,DM45,2022,OPERATIVO,483765.63,14295.78
19,EQ-019,Rodillo Compactador Bobcat CS66,Bobcat,CS66,2019,INACTIVO,439862.94,11053.63
20,EQ-020,Grúa Case RT890E,Case,RT890E,2020,MANTENIMIENTO,479563.43,12755.25
21,EQ-021,Minicargador Caterpillar 262D,Caterpillar,262D,2024,INACTIVO,290292.19,12323.59
22,EQ-022,Grúa Case RT890E,Case,RT890E,2024,OPERATIVO,289164.43,12837.3
23,EQ-023,Bulldozer Hitachi D155,Hitachi,D155,2015,OPERATIVO,228951.4,9733.43
24,EQ-024,Volquete John Deere 745C,John Deere,745C,2017,OPERATIVO,292974.9,6615.98
25,EQ-025,Grúa Komatsu LTM 1050,Komatsu,LTM 1050,2015,INACTIVO,60870.65,8995.03
26,EQ-026,Bulldozer JCB D9T,JCB,D9T,2012,OPERATIVO,327694.32,13847.03
27,EQ-027,Excavadora Hidráulica Komatsu PC200,Komatsu,PC200,2014,OPERATIVO,135777.32,2770.07
28,EQ-028,Perforadora Caterpillar D245S,Caterpillar,D245S,2020,INACTIVO,73875.58,8586.84
29,EQ-029,Perforadora JCB PV271,JCB,PV271,2023,MANTENIMIENTO,104974.14,4957.5
30,EQ-030,Rodillo Compactador John Deere CV533,John Deere,CV533,2018,OPERATIVO,244722.53,5837.81
31,EQ-031,Cargador Frontal Liebherr 966M,Liebherr,966M,2018,INACTIVO,315775.15,12229.3
32,EQ-032,Perforadora Case D245S,Case,D245S,2013,MANTENIMIENTO,124097.63,7763.45
33,EQ-033,Bulldozer Hitachi D6T,Hitachi,D6T,2019,MANTENIMIENTO,61182.11,1848.77
34,EQ-034,Perforadora Liebherr DM45,Liebherr,DM45,2023,OPERATIVO,332356.6,13936.17
35,EQ-035,Perforadora Doosan D245S,Doosan,D245S,2022,OPERATIVO,304349.35,6068.65
36,EQ-036,Excavadora Hidráulica Hitachi 330,Hitachi,330,2024,OPERATIVO,281840.68,2518.03
37,EQ-037,Bulldozer Caterpillar D9T,Caterpillar,D9T,2022,OPERATIVO,132435.48,5001.73
38,EQ-038,Excavadora Hidráulica Doosan 336,Doosan,336,2021,MANTENIMIENTO,436911.66,6178.14
39,EQ-039,Retroexcavadora Bobcat 420F,Bobcat,420F,2014,MANTENIMIENTO,216772.65,6554.45
40,EQ-040,Retroexcavadora Bobcat WB97,Bobcat,WB97,2020,OPERATIVO,323120.12,8410.22
41,EQ-041,Bulldozer Volvo D7R,Volvo,D7R,2012,MANTENIMIENTO,402580.74,2403.6
42,EQ-042,Volquete JCB HD785,JCB,HD785,2010,OPERATIVO,126293.35,2548.2
43,EQ-043,Retroexcavadora Doosan 430F,Doosan,430F,2011,MANTENIMIENTO,474937.13,8853.59
44,EQ-044,Cargador Frontal Komatsu L150,Komatsu,L150,2024,INACTIVO,80244.61,5765.26
45,EQ-045,Retroexcavadora Doosan 4CX,Doosan,4CX,2012,INACTIVO,415302.15,6407.17
46,EQ-046,Rodillo Compactador Liebherr CS56,Liebherr,CS56,2014,OPERATIVO,130485.54,13607.88
47,EQ-047,Perforadora John Deere DM30,John Deere,DM30,2022,OPERATIVO,307302.56,1021.12
48,EQ-048,Bulldozer Caterpillar D6T,Caterpillar,D6T,2018,INACTIVO,325605.46,11249.21
49,EQ-049,Motoniveladora Hitachi G930,Hitachi,G930,2024,INACTIVO,284946.49,7284.23
50,EQ-050,Bulldozer Liebherr D9T,Liebherr,D9T,2015,OPERATIVO,82594.32,8629.91
