id,plan_id,numero_orden,descripcion_componente,actividad,tiempo_min,tiempo_promedio,tiempo_max,costo_estimado
1,1,1,Neumáticos,Rotar neumáticos,43,72,94,349.32
2,1,2,Sistema de Lubricación,Verificar nivel de aceite,17,45,66,394.32
3,1,3,Sistema de Frenos,Verificar líquido de frenos,41,55,74,259.74
4,1,4,Filtros,Cambiar filtro de combustible,25,35,55,237.43
5,1,5,Cuchara y Brazo,Soldar refuerzos,24,47,67,84.21
6,2,1,Sistema de Escape,Cambiar empaques,45,60,76,576.53
7,2,2,Cuchara y Brazo,Revisar dientes,20,39,49,287.89
8,2,3,Sistema Eléctrico,Verificar alternador,17,31,43,375.74
9,2,4,Sistema de Frenos,Verificar líquido de frenos,23,34,45,570.2
10,2,5,Sistema Hidráulico,Medir presiones de bomba,39,56,74,281.56
11,2,6,Sistema de Transmisión,Cambiar aceite de transmisión,37,55,80,405.53
12,2,7,Neumáticos,Rotar neumáticos,45,75,87,325.02
13,2,8,Cabina,Revisar asiento,23,53,64,314.86
14,3,1,Cabina,Limpiar filtros de aire acondicionado,19,32,43,306.49
15,3,2,Cuchara y Brazo,Engrasar articulaciones,39,55,83,153.53
16,3,3,Sistema de Transmisión,Cambiar aceite de transmisión,45,58,68,462.14
17,3,4,Sistema de Lubricación,Engrasar puntos de lubricación,23,43,69,255.16
18,3,5,Tren de Rodaje,Revisar tensión de cadena,20,31,42,354.68
19,3,6,Sistema de Frenos,Purgar sistema de frenos,24,52,68,405.42
20,3,7,Sistema de Dirección,Verificar juego,25,51,65,309.07
21,3,8,Sistema de Refrigeración,Revisar mangueras,28,47,75,159.93
22,3,9,Sistema de Escape,Inspeccionar DPF,16,38,63,315.93
23,3,10,Motor,Verificar funcionamiento de motor,21,43,57,257.17
24,3,11,Carrocería,Reparar abolladuras,27,47,71,359.4
25,3,12,Sistema Hidráulico,Revisar mangueras,25,49,62,422.89
26,4,1,Sistema de Refrigeración,Verificar termostato,44,74,86,566.75
27,4,2,Cabina,Verificar controles,17,41,61,288.65
28,4,3,Sistema Hidráulico,Verificar cilindros,18,37,52,139.89
29,4,4,Sistema de Frenos,Revisar discos,43,57,68,309.82
30,4,5,Sistema de Escape,Cambiar empaques,30,52,68,232.3
31,4,6,Sistema de Lubricación,Cambiar aceite de motor,40,51,73,292.15
32,4,7,Cuchara y Brazo,Cambiar bocinas,44,60,78,489.16
33,4,8,Filtros,Cambiar filtro de combustible,40,65,89,273.66
34,4,9,Sistema de Combustible,Verificar bomba de combustible,15,38,48,198.75
35,4,10,Sistema Eléctrico,Inspeccionar conexiones,23,35,50,373.73
36,4,11,Sistema de Dirección,Alinear dirección,19,49,75,190.09
37,4,12,Neumáticos,Inspeccionar desgaste,30,52,74,126.72
38,4,13,Sistema de Transmisión,Verificar cardanes,35,46,70,152.29
39,4,14,Carrocería,Revisar vidrios,19,36,48,128.58
40,4,15,Motor,Verificar funcionamiento de motor,17,40,63,409.62
41,5,1,Filtros,Limpiar pre-filtro,37,47,75,362.29
42,5,2,Sistema Eléctrico,Revisar batería,33,60,84,130.29
43,5,3,Sistema de Escape,Inspeccionar DPF,41,65,78,275.25
44,5,4,Tren de Rodaje,Inspeccionar rodillos,21,37,56,598.48
45,6,1,Tren de Rodaje,Inspeccionar rodillos,41,55,65,162.29
46,6,2,Sistema de Refrigeración,Revisar mangueras,22,39,52,550.8
47,6,3,Sistema de Frenos,Revisar discos,35,57,71,203.0
48,6,4,Neumáticos,Reparar pinchazo,25,38,56,557.57
49,6,5,Sistema Hidráulico,Cambiar aceite hidráulico,28,46,76,534.59
50,7,1,Cabina,Verificar tablero,25,37,53,430.05
51,7,2,Sistema de Refrigeración,Limpiar radiador,17,45,59,356.18
52,7,3,Sistema de Combustible,Verificar bomba de combustible,23,42,69,134.21
53,7,4,Neumáticos,Verificar presión,39,68,78,598.45
54,7,5,Sistema de Frenos,Purgar sistema de frenos,31,53,80,557.91
55,7,6,Sistema de Transmisión,Cambiar aceite de transmisión,37,48,60,114.77
56,7,7,Motor,Ajustar válvulas,28,56,76,122.26
57,7,8,Sistema Eléctrico,Verificar motor de arranque,17,30,57,475.95
58,8,1,Cuchara y Brazo,Revisar dientes,22,39,68,334.33
59,8,2,Sistema de Dirección,Revisar bomba de dirección,30,52,68,150.52
60,8,3,Cabina,Limpiar filtros de aire acondicionado,36,59,75,160.85
61,8,4,Sistema de Frenos,Revisar pastillas,27,54,73,506.39
62,8,5,Sistema Hidráulico,Revisar mangueras,34,48,75,315.85
63,8,6,Motor,Inspeccionar correas,18,32,42,366.35
64,8,7,Sistema de Transmisión,Ajustar embrague,34,55,76,177.31
65,8,8,Neumáticos,Inspeccionar desgaste,29,47,57,200.83
66,8,9,Sistema de Lubricación,Cambiar aceite de motor,32,53,65,550.33
67,8,10,Sistema de Combustible,Limpiar trampa de agua,32,56,81,177.29
68,8,11,Sistema de Escape,Revisar turbo,35,61,88,200.35
69,8,12,Sistema de Refrigeración,Revisar mangueras,24,53,69,450.72
70,9,1,Sistema de Combustible,Cambiar cañerías,41,57,75,295.33
71,9,2,Cuchara y Brazo,Cambiar bocinas,18,45,59,170.84
72,9,3,Tren de Rodaje,Inspeccionar rodillos,35,53,63,156.12
73,9,4,Neumáticos,Inspeccionar desgaste,41,64,87,516.43
74,9,5,Sistema de Escape,Inspeccionar DPF,38,52,79,386.65
75,9,6,Sistema de Lubricación,Cambiar aceite de motor,25,37,51,531.74
76,9,7,Motor,Revisar nivel de refrigerante,28,47,76,319.99
77,9,8,Sistema de Transmisión,Verificar cardanes,45,74,100,173.31
78,9,9,Sistema Hidráulico,Revisar mangueras,29,41,61,279.12
79,9,10,Sistema Eléctrico,Inspeccionar conexiones,19,40,61,385.89
80,9,11,Filtros,Cambiar filtro de combustible,40,65,76,514.6
81,9,12,Carrocería,Pintar partes oxidadas,38,62,72,314.22
82,9,13,Sistema de Dirección,Revisar bomba de dirección,40,69,98,368.44
83,9,14,Sistema de Refrigeración,Revisar bomba de agua,21,41,51,376.83
84,9,15,Cabina,Limpiar filtros de aire acondicionado,41,52,68,232.91
85,10,1,Sistema de Transmisión,Cambiar aceite de transmisión,15,34,44,294.06
86,10,2,Neumáticos,Rotar neumáticos,37,54,79,186.03
87,10,3,Sistema de Frenos,Verificar líquido de frenos,20,44,73,539.23
88,10,4,Cabina,Verificar controles,37,59,85,203.25
89,11,1,Sistema de Refrigeración,Revisar bomba de agua,34,61,75,286.07
90,11,2,Sistema de Escape,Inspeccionar DPF,31,51,81,215.67
91,11,3,Sistema Hidráulico,Cambiar sellos de cilindro,37,54,76,179.29
92,11,4,Carrocería,Lavar equipo completo,22,32,54,123.81
93,11,5,Cuchara y Brazo,Soldar refuerzos,36,60,77,169.58
94,12,1,Sistema de Escape,Revisar turbo,24,44,64,512.74
95,12,2,Filtros,Cambiar filtro de combustible,26,48,66,152.43
96,12,3,Sistema de Dirección,Engrasar articulaciones,35,50,65,156.85
97,12,4,Sistema Hidráulico,Revisar mangueras,20,45,63,431.65
98,12,5,Cuchara y Brazo,Engrasar articulaciones,34,54,75,327.43
99,12,6,Sistema de Refrigeración,Cambiar refrigerante,17,36,51,273.03
100,12,7,Sistema de Lubricación,Verificar nivel de aceite,42,72,85,526.94
101,12,8,Cabina,Limpiar filtros de aire acondicionado,18,39,58,273.7
102,13,1,Sistema de Refrigeración,Revisar mangueras,21,48,62,272.95
103,13,2,Cuchara y Brazo,Cambiar bocinas,42,55,68,244.44
104,13,3,Sistema Eléctrico,Revisar batería,33,43,53,446.71
105,13,4,Motor,Revisar nivel de refrigerante,31,57,71,121.51
106,13,5,Sistema de Dirección,Alinear dirección,20,50,62,538.35
107,13,6,Sistema de Lubricación,Verificar nivel de aceite,16,45,59,149.79
108,13,7,Sistema Hidráulico,Verificar cilindros,27,37,55,554.99
109,13,8,Sistema de Combustible,Limpiar trampa de agua,37,65,91,316.13
110,13,9,Sistema de Transmisión,Ajustar embrague,19,42,60,265.79
