id,actividad_id,insumo_id,cantidad,unidad,especificaciones,costo_unitario
1,1,5,6.48,Kg,Para Motor,19.17
2,2,38,6.65,Litro,Para Sistema de Escape,21.04
3,2,20,6.65,Metro,Para Sistema de Escape,23.25
4,2,65,1.77,Litro,Para Sistema de Escape,16.21
5,2,40,3.93,Kg,Para Sistema de Escape,13.22
6,3,8,0.97,Unidad,Para Sistema de Combustible,38.39
7,4,20,8.74,Metro,Para Filtros,23.25
8,4,52,1.5,Metro,Para Filtros,30.6
9,4,77,7.78,Litro,Para Filtros,19.39
10,4,14,3.66,Litro,Para Filtros,41.95
11,5,53,3.73,Unidad,Para Sistema de Refrigeración,314.96
12,5,1,8.56,Litro,Para Sistema de Refrigeración,22.6
13,5,64,7.93,Litro,Para Sistema de Refrigeración,37.39
14,5,5,4.5,Kg,Para Sistema de Refrigeración,19.17
15,6,74,1.47,Unidad,Para Sistema Hidráulico,1428.35
16,6,58,6.71,Unidad,Para Sistema Hidráulico,83.68
17,6,38,2.34,Litro,Para Sistema Hidráulico,21.04
18,7,79,7.83,Kg,Para Sistema de Frenos,13.21
19,7,24,9.8,Unidad,Para Sistema de Frenos,44.49
20,8,34,2.15,Unidad,Para Sistema de Dirección,53.29
21,8,36,6.89,Unidad,Para Sistema de Dirección,867.16
22,9,41,8.56,Unidad,Para Sistema Eléctrico,55.7
23,10,62,1.22,Unidad,Para Cabina,2513.71
24,10,35,2.02,Unidad,Para Cabina,5.78
25,10,75,8.14,Kg,Para Cabina,15.27
26,10,68,8.07,Unidad,Para Cabina,5.19
27,11,76,7.44,Unidad,Para Sistema de Lubricación,102.65
28,12,16,7.13,Unidad,Para Neumáticos,3964.04
29,12,33,2.99,Rollo,Para Neumáticos,10.95
30,13,1,8.07,Litro,Para Cuchara y Brazo,22.6
31,13,39,8.08,Litro,Para Cuchara y Brazo,19.86
32,13,23,7.11,Unidad,Para Cuchara y Brazo,77.47
33,13,73,5.43,Metro,Para Cuchara y Brazo,26.21
34,14,2,1.45,Litro,Para Carrocería,18.63
35,14,61,2.45,Metro,Para Carrocería,55.11
36,15,6,4.05,Kg,Para Sistema de Dirección,15.65
37,16,49,1.1,Unidad,Para Sistema Hidráulico,4020.01
38,16,36,4.45,Unidad,Para Sistema Hidráulico,867.16
39,16,20,5.24,Metro,Para Sistema Hidráulico,23.25
40,17,26,8.39,Metro,Para Sistema de Frenos,66.92
41,17,56,2.9,Unidad,Para Sistema de Frenos,810.73
42,17,30,5.69,Kg,Para Sistema de Frenos,9.85
43,17,48,0.91,Kg,Para Sistema de Frenos,13.54
44,18,78,5.72,Unidad,Para Cuchara y Brazo,57.81
45,18,19,9.14,Unidad,Para Cuchara y Brazo,692.57
46,18,2,3.91,Litro,Para Cuchara y Brazo,18.63
47,19,44,8.71,Litro,Para Tren de Rodaje,22.01
48,19,20,7.55,Metro,Para Tren de Rodaje,23.25
49,20,15,3.86,Litro,Para Sistema Eléctrico,22.71
50,20,21,6.15,Unidad,Para Sistema Eléctrico,4.69
51,21,27,4.0,Unidad,Para Sistema de Transmisión,39.85
52,22,56,6.53,Unidad,Para Sistema de Escape,810.73
53,22,79,3.58,Kg,Para Sistema de Escape,13.21
54,22,28,0.73,Unidad,Para Sistema de Escape,1350.76
55,22,11,9.45,Unidad,Para Sistema de Escape,182.04
56,23,75,5.43,Kg,Para Sistema de Lubricación,15.27
57,24,32,1.75,Rollo,Para Motor,13.99
58,24,28,8.25,Unidad,Para Motor,1350.76
59,25,30,0.52,Kg,Para Filtros,9.85
60,25,16,0.65,Unidad,Para Filtros,3964.04
61,25,10,9.9,Unidad,Para Filtros,76.95
62,26,43,1.63,Unidad,Para Neumáticos,55.3
63,26,3,6.02,Litro,Para Neumáticos,28.41
64,27,15,6.78,Litro,Para Carrocería,22.71
65,27,7,1.11,Unidad,Para Carrocería,54.31
66,28,40,8.4,Kg,Para Sistema de Lubricación,13.22
67,29,14,7.69,Litro,Para Motor,41.95
68,29,8,9.77,Unidad,Para Motor,38.39
69,29,41,7.44,Unidad,Para Motor,55.7
70,29,35,8.52,Unidad,Para Motor,5.78
71,30,25,1.02,Unidad,Para Sistema Hidráulico,252.67
72,31,6,9.6,Kg,Para Tren de Rodaje,15.65
73,31,80,9.23,Unidad,Para Tren de Rodaje,91.42
74,31,47,3.82,Rollo,Para Tren de Rodaje,10.46
75,32,12,8.69,Unidad,Para Cuchara y Brazo,112.53
76,32,39,3.33,Litro,Para Cuchara y Brazo,19.86
77,32,41,1.18,Unidad,Para Cuchara y Brazo,55.7
78,32,35,0.67,Unidad,Para Cuchara y Brazo,5.78
79,33,1,6.14,Litro,Para Sistema de Refrigeración,22.6
80,33,26,9.93,Metro,Para Sistema de Refrigeración,66.92
81,33,20,5.78,Metro,Para Sistema de Refrigeración,23.25
82,33,67,5.29,Litro,Para Sistema de Refrigeración,32.63
83,34,24,4.19,Unidad,Para Sistema de Transmisión,44.49
84,34,17,1.59,Unidad,Para Sistema de Transmisión,2959.45
85,35,42,6.88,Unidad,Para Sistema de Escape,88.45
86,35,65,0.98,Litro,Para Sistema de Escape,16.21
87,35,41,1.95,Unidad,Para Sistema de Escape,55.7
88,35,14,1.53,Litro,Para Sistema de Escape,41.95
89,36,23,4.18,Unidad,Para Sistema de Combustible,77.47
90,36,20,1.05,Metro,Para Sistema de Combustible,23.25
91,37,75,2.18,Kg,Para Sistema de Frenos,15.27
92,37,48,1.87,Kg,Para Sistema de Frenos,13.54
93,38,66,0.9,Unidad,Para Filtros,87.62
94,38,8,4.84,Unidad,Para Filtros,38.39
95,38,34,0.97,Unidad,Para Filtros,53.29
96,39,5,9.54,Kg,Para Sistema Eléctrico,19.17
97,39,18,1.85,Unidad,Para Sistema Eléctrico,168.23
98,39,8,2.47,Unidad,Para Sistema Eléctrico,38.39
99,40,13,3.78,Litro,Para Carrocería,21.42
100,40,28,7.4,Unidad,Para Carrocería,1350.76
101,41,17,5.92,Unidad,Para Cabina,2959.45
102,42,23,4.8,Unidad,Para Motor,77.47
103,42,32,9.38,Rollo,Para Motor,13.99
104,42,53,2.05,Unidad,Para Motor,314.96
105,43,3,0.7,Litro,Para Sistema de Frenos,28.41
106,43,6,2.97,Kg,Para Sistema de Frenos,15.65
107,43,64,4.66,Litro,Para Sistema de Frenos,37.39
108,43,65,1.74,Litro,Para Sistema de Frenos,16.21
109,44,49,8.01,Unidad,Para Tren de Rodaje,4020.01
110,44,73,4.71,Metro,Para Tren de Rodaje,26.21
111,44,21,4.33,Unidad,Para Tren de Rodaje,4.69
112,45,3,5.26,Litro,Para Sistema de Dirección,28.41
113,46,23,0.77,Unidad,Para Sistema de Transmisión,77.47
114,46,74,3.4,Unidad,Para Sistema de Transmisión,1428.35
115,46,42,1.18,Unidad,Para Sistema de Transmisión,88.45
116,47,4,9.6,Litro,Para Cuchara y Brazo,24.05
117,48,43,8.85,Unidad,Para Filtros,55.3
118,48,60,8.28,Unidad,Para Filtros,32.67
119,49,10,9.22,Unidad,Para Sistema de Lubricación,76.95
120,49,65,5.0,Litro,Para Sistema de Lubricación,16.21
121,50,23,1.19,Unidad,Para Sistema de Transmisión,77.47
122,51,7,9.46,Unidad,Para Motor,54.31
123,52,13,0.87,Litro,Para Carrocería,21.42
124,52,7,3.63,Unidad,Para Carrocería,54.31
125,52,65,0.96,Litro,Para Carrocería,16.21
126,52,59,3.39,Kg,Para Carrocería,15.9
127,53,18,7.71,Unidad,Para Sistema de Escape,168.23
128,54,55,3.65,Unidad,Para Cuchara y Brazo,1559.76
129,55,5,6.94,Kg,Para Sistema de Refrigeración,19.17
130,55,3,7.09,Litro,Para Sistema de Refrigeración,28.41
131,56,37,5.48,Unidad,Para Cabina,4664.11
132,56,18,7.04,Unidad,Para Cabina,168.23
133,57,1,6.9,Litro,Para Carrocería,22.6
134,57,27,6.21,Unidad,Para Carrocería,39.85
135,57,35,3.59,Unidad,Para Carrocería,5.78
136,58,31,4.58,Unidad,Para Sistema de Transmisión,24.59
137,59,63,6.11,Unidad,Para Sistema de Refrigeración,108.41
138,59,45,1.99,Unidad,Para Sistema de Refrigeración,103.68
139,59,5,6.9,Kg,Para Sistema de Refrigeración,19.17
140,59,19,3.44,Unidad,Para Sistema de Refrigeración,692.57
141,60,50,2.59,Litro,Para Cuchara y Brazo,26.83
142,60,3,3.75,Litro,Para Cuchara y Brazo,28.41
143,60,25,7.05,Unidad,Para Cuchara y Brazo,252.67
144,60,49,3.11,Unidad,Para Cuchara y Brazo,4020.01
145,61,39,4.24,Litro,Para Cabina,19.86
146,62,53,1.14,Unidad,Para Sistema de Escape,314.96
147,62,3,9.14,Litro,Para Sistema de Escape,28.41
148,62,52,1.81,Metro,Para Sistema de Escape,30.6
149,62,8,3.63,Unidad,Para Sistema de Escape,38.39
150,63,64,8.0,Litro,Para Sistema Hidráulico,37.39
151,64,38,9.7,Litro,Para Sistema de Frenos,21.04
152,65,18,9.71,Unidad,Para Sistema de Combustible,168.23
153,65,62,1.68,Unidad,Para Sistema de Combustible,2513.71
154,66,63,4.85,Unidad,Para Sistema Eléctrico,108.41
155,66,54,8.65,Unidad,Para Sistema Eléctrico,289.96
156,67,64,5.85,Litro,Para Tren de Rodaje,37.39
157,68,37,0.55,Unidad,Para Sistema Eléctrico,4664.11
158,68,70,3.16,Litro,Para Sistema Eléctrico,18.43
159,69,6,3.2,Kg,Para Sistema de Lubricación,15.65
160,69,75,1.36,Kg,Para Sistema de Lubricación,15.27
161,69,52,5.35,Metro,Para Sistema de Lubricación,30.6
162,69,72,3.32,Unidad,Para Sistema de Lubricación,879.87
163,70,37,9.93,Unidad,Para Sistema de Refrigeración,4664.11
164,70,59,1.95,Kg,Para Sistema de Refrigeración,15.9
165,70,55,5.05,Unidad,Para Sistema de Refrigeración,1559.76
166,71,36,8.04,Unidad,Para Motor,867.16
167,71,64,6.36,Litro,Para Motor,37.39
168,71,15,6.12,Litro,Para Motor,22.71
169,72,51,9.06,Unidad,Para Sistema de Escape,285.17
170,72,55,7.65,Unidad,Para Sistema de Escape,1559.76
171,73,35,2.52,Unidad,Para Sistema Eléctrico,5.78
172,73,70,2.78,Litro,Para Sistema Eléctrico,18.43
173,73,57,0.58,Unidad,Para Sistema Eléctrico,32.3
174,73,24,3.24,Unidad,Para Sistema Eléctrico,44.49
175,74,34,4.63,Unidad,Para Sistema Hidráulico,53.29
176,74,23,1.01,Unidad,Para Sistema Hidráulico,77.47
177,75,3,3.58,Litro,Para Sistema de Frenos,28.41
