id,actividad_id,herramienta_id,cantidad,especificaciones
1,1,45,1,Herramienta para Revisar nivel de refrigerante
2,1,38,2,Herramienta para Revisar nivel de refrigerante
3,1,60,2,Herramienta para Revisar nivel de refrigerante
4,2,37,2,Herramienta para Revisar tubo de escape
5,2,34,2,Herramienta para Revisar tubo de escape
6,2,17,1,Herramienta para Revisar tubo de escape
7,3,10,2,Herramienta para Verificar bomba de combustible
8,3,36,1,Herramienta para Verificar bomba de combustible
9,4,5,1,Herramienta para Cambiar filtro de combustible
10,4,17,2,Herramienta para Cambiar filtro de combustible
11,4,42,2,Herramienta para Cambiar filtro de combustible
12,5,29,2,Herramienta para Revisar mangueras
13,5,60,1,Herramienta para Revisar mangueras
14,6,33,2,Herramienta para Revisar mangueras
15,6,27,2,Herramienta para Revisar mangueras
16,7,9,2,Herramienta para Verificar líquido de frenos
17,7,38,2,Herramienta para Verificar líquido de frenos
18,7,27,2,Herramienta para Verificar líquido de frenos
19,8,50,1,Herramienta para Verificar juego
20,8,16,2,Herramienta para Verificar juego
21,8,18,1,Herramienta para Verificar juego
22,9,23,2,Herramienta para Verificar alternador
23,9,18,2,Herramienta para Verificar alternador
24,9,53,1,Herramienta para Verificar alternador
25,10,5,2,Herramienta para Verificar controles
26,11,21,1,Herramienta para Cambiar aceite de motor
27,12,17,1,Herramienta para Rotar neumáticos
28,12,22,1,Herramienta para Rotar neumáticos
29,13,57,2,Herramienta para Verificar pasadores
30,13,46,1,Herramienta para Verificar pasadores
31,13,9,2,Herramienta para Verificar pasadores
32,14,21,2,Herramienta para Reparar abolladuras
33,14,5,2,Herramienta para Reparar abolladuras
34,14,14,1,Herramienta para Reparar abolladuras
35,15,39,2,Herramienta para Engrasar articulaciones
36,15,24,2,Herramienta para Engrasar articulaciones
37,16,23,2,Herramienta para Revisar mangueras
38,16,12,2,Herramienta para Revisar mangueras
39,16,58,1,Herramienta para Revisar mangueras
40,17,28,2,Herramienta para Ajustar frenos
41,17,15,2,Herramienta para Ajustar frenos
42,17,47,1,Herramienta para Ajustar frenos
43,18,44,1,Herramienta para Revisar dientes
44,18,2,2,Herramienta para Revisar dientes
45,19,3,2,Herramienta para Revisar tensión de cadena
46,20,16,1,Herramienta para Verificar alternador
47,21,27,1,Herramienta para Ajustar embrague
48,21,57,2,Herramienta para Ajustar embrague
49,22,18,1,Herramienta para Verificar silenciador
50,22,29,2,Herramienta para Verificar silenciador
51,22,48,1,Herramienta para Verificar silenciador
52,23,29,1,Herramienta para Engrasar puntos de lubricación
53,24,17,2,Herramienta para Revisar nivel de refrigerante
54,25,45,2,Herramienta para Cambiar filtro de aceite
55,25,28,2,Herramienta para Cambiar filtro de aceite
56,25,9,1,Herramienta para Cambiar filtro de aceite
57,26,26,2,Herramienta para Inspeccionar desgaste
58,26,59,1,Herramienta para Inspeccionar desgaste
59,27,46,2,Herramienta para Reparar abolladuras
60,27,45,1,Herramienta para Reparar abolladuras
61,28,59,1,Herramienta para Cambiar aceite de motor
62,28,60,1,Herramienta para Cambiar aceite de motor
63,29,57,1,Herramienta para Verificar funcionamiento de motor
64,29,48,1,Herramienta para Verificar funcionamiento de motor
65,29,9,1,Herramienta para Verificar funcionamiento de motor
66,30,36,1,Herramienta para Revisar mangueras
67,30,15,1,Herramienta para Revisar mangueras
68,30,2,1,Herramienta para Revisar mangueras
69,31,46,1,Herramienta para Revisar tensión de cadena
70,32,22,1,Herramienta para Verificar pasadores
71,32,15,2,Herramienta para Verificar pasadores
72,32,49,2,Herramienta para Verificar pasadores
73,33,60,2,Herramienta para Revisar mangueras
74,34,54,1,Herramienta para Ajustar embrague
75,35,11,2,Herramienta para Revisar tubo de escape
76,35,59,1,Herramienta para Revisar tubo de escape
77,36,58,1,Herramienta para Revisar inyectores
78,37,15,2,Herramienta para Ajustar frenos
